survey_timestamp,participant_class,college ,department,Gender,race,computer_user_type,pc/laptop,purchase_year,screen_size,screen_size_other,warranty,webcam,computer_rating,computer_model,computer_ownership,os,os_version,processor,memory,harddisk,data_sizein_computer,data_backup,backup_method,external_backup_disk_brand,cloud_brand,backup_freq,automatic_backup,loss_of_data,have-secondary_computer,secondary_primary_sync,have_smartphone,smartphone_brand,smartphone_model,have_smartwatch,smartwatch_brand,smartwatch_model,confidence_level_on_sw_installation,internet_speed,internet_connection_reliability,Completion_status
6/18/2020 10:26,Instructional Faculty,,Earth and Atmospheric Sciences,Prefer Not to Say,Prefer Not to Say,Standard User [document writing/email/web],Desktop,2015,14'',,No,Built-in to my computer,Average,Apple Macbook Pro,Own,Mac OS,High Sierra,Intel Core i5,4 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,No,,,Neutral,100 - 300 Mbps,Average,Complete
6/19/2020 14:42,Senior,,Computer Science,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2019,15'',,No,Built-in to my computer,Average,Dell Inspiron 5000,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Both,WD,Google Drive,Weekly,Yes,No,Yes,No,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 4,Neutral,< 100 Mbps,Good,Complete
6/22/2020 12:09,Senior,,Computer Science,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2019,15'',,3 year,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Other,Yes,Yes,Yes,Yes,Yes,iPhone,iPhone X Series,No,,,Moderately confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:09,Masters Student (MS),,Computer Science,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2017,15'',,No,Built-in to my computer,Good,Other,Own,Linux,Other,Intel Core i7,8 GB,> 1 TB,500 GB - 1 TB,No,,,,,,No,No,,Yes,Google,Google Pixel 3a,No,,,Very confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:08,Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Good,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,8 GB,128 GB,500 GB - 1 TB,No,,,,,,No,No,,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 4,Somewhat confident,100 - 300 Mbps,Average,Complete
[not completed],Freshman,,Computer Science,Male,Asian American,Power User [... plus programming/analytics],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:09,Senior,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],Laptop,2017,13'',,No,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,8 GB,512 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone X Series,No,,,Somewhat confident,< 100 Mbps,Fair,Complete
6/22/2020 12:12,Doctoral Student (PhD),,Earth and Atmospheric Sciences,Female,White,Power User [... plus programming/analytics],Laptop,2019,14'',,1 year,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Cloud,,Google Drive,Monthly,No,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Moderately confident,300 - 500 Mbps,Excellent,Complete
[not completed],Sophomore,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],Laptop,2016,14'',,No,No,Average,Other,Own,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:10,Sophomore,,Computer Science,Male,Asian American,Power User [... plus programming/analytics],Desktop,2013,17'',,No,No,Fair,Other,Own,Linux,Linux,Other,8 GB,1 TB,100 GB - 500 GB,Yes,External backup disk,WD,,Monthly,Yes,No,Yes,Yes,Yes,iPhone,iPhone 11,No,,,Very confident,100 - 300 Mbps,Good,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2016,14'',,1 year,Built-in to my computer,Good,Other,Own,Chrome OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Senior,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2016,15'',,No,Built-in to my computer,Average,Lenovo Yoga,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:10,Doctoral Student (PhD),,Biology and Biochemistry,Male,Asian American,Power User [... plus programming/analytics],Laptop,2014,17'',,No,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 7,Intel Core i7,> 32 GB,> 1 TB,500 GB - 1 TB,Yes,Both,WD,Google Drive,Daily,Yes,No,No,,Yes,iPhone,iPhone 8,No,,,Very confident,> 500 Mbps,Excellent,Complete
6/22/2020 12:09,Doctoral Student (PhD),,Chemistry,Female,White,Power User [... plus programming/analytics],Laptop,2018,13'',,3 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i7,16 GB,256 GB,100 GB - 500 GB,Yes,Both,Seagate,Apple iCloud,Monthly,Yes,Yes,No,,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 5,Very confident,> 500 Mbps,Average,Complete
6/22/2020 12:11,Senior,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,128 GB,< 100 GB,Yes,Cloud,,Apple iCloud,Daily,Yes,No,Yes,Yes,Yes,iPhone,iPhone 11,Yes,Apple Watch,Apple Watch 5,Somewhat confident,100 - 300 Mbps,Good,Complete
6/22/2020 12:10,Senior,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2019,13'',,3 year,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 8,No,,,Moderately confident,100 - 300 Mbps,Good,Complete
[not completed],Doctoral Student (PhD),,Chemistry,Female,White,Standard User [document writing/email/web],Laptop,2017,13'',,No,Built-in to my computer,Fair,Dell Latitude 5000,University property,Windows OS,Windows 10 Home,Intel Core i5,16 GB,128 GB,100 GB - 500 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone 11,No,,,Not confident,,Average,Incomplete
6/22/2020 12:10,Sophomore,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Average,Dell Inspiron 7000,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Not confident,100 - 300 Mbps,Fair,Complete
[not completed],Freshman,,Other,Female,Asian American,Standard User [document writing/email/web],Laptop,2019,13'',,No,Built-in to my computer,Good,Microsoft Surface,Own,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Sophomore,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2018,17'',,No,Built-in to my computer,Good,Dell Inspiron 5000,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Junior,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:10,Doctoral Student (PhD),,Mathematics,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2017,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,8 GB,1 TB,100 GB - 500 GB,No,,,,,,No,No,,Yes,Other,Other,No,,,Very confident,100 - 300 Mbps,Good,Complete
[not completed],Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2019,13'',,1 year,Built-in to my computer,Good,Apple Macbook Pro,Own,Mac OS,Catalina,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:19,Senior,,Chemistry,Male,Hispanic,Standard User [document writing/email/web],Laptop,2019,14'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,Other,8 GB,128 GB,< 100 GB,No,,,,,,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Neutral,< 100 Mbps,Good,Complete
[not completed],Senior,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2018,17'',,No,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:10,Senior,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2015,13'',,No,Built-in to my computer,Average,Apple Macbook Pro,Own,Mac OS,High Sierra,Intel Core i9,4 GB,128 GB,< 100 GB,Yes,Cloud,,Apple iCloud,Weekly,Yes,No,Yes,Yes,Yes,iPhone,iPhone X Series,No,,,Not confident,300 - 500 Mbps,Good,Complete
6/22/2020 12:10,Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2017,14'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Pro,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,Other,Other,No,,,Very confident,300 - 500 Mbps,Excellent,Complete
6/22/2020 12:13,Doctoral Student (PhD),,Computer Science,Male,White,Power User [... plus programming/analytics],Laptop,2012,15'',,No,Built-in to my computer,Average,Other,Own,Linux,Other,Other,8 GB,512 GB,< 100 GB,Yes,Both,Seagate,Google Drive,Monthly,No,No,Yes,Yes,Yes,Google,Other,No,,,Very confident,100 - 300 Mbps,Fair,Complete
6/22/2020 12:11,Freshman,,Biology and Biochemistry,Male,White,Standard User [document writing/email/web],Desktop,2018,Other,21.5,No,Built-in to my computer,Average,Other,Own,Mac OS,Catalina,Intel Core i5,8 GB,1 TB,500 GB - 1 TB,No,,,,,,No,Yes,Yes,Yes,iPhone,iPhone X Series,No,,,Moderately confident,100 - 300 Mbps,Good,Complete
[not completed],Sophomore,,Biology and Biochemistry,Male,White,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Good,Dell Inspiron 7000,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,< 100 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,No,,,,,,,,,,,Incomplete
6/22/2020 12:21,Doctoral Student (PhD),,Chemistry,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2019,13'',,No,Built-in to my computer,Good,Microsoft Surface,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,Yes,Yes,Yes,iPhone,iPhone X Series,No,,,Very confident,100 - 300 Mbps,Excellent,Complete
[not completed],Freshman,,Chemistry,Female,African American,Standard User [document writing/email/web],Laptop,2015,15'',,No,Built-in to my computer,Excellent,Other,Own,Windows OS,Windows 10 Pro,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:10,Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2016,17'',,No,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,128 GB,100 GB - 500 GB,No,,,,,,No,No,,Yes,Other,Other,No,,,Neutral,100 - 300 Mbps,Average,Complete
6/22/2020 12:13,Freshman,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2019,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,No,,,,,,No,Yes,No,Yes,Other,Other,No,,,Somewhat confident,300 - 500 Mbps,Good,Complete
[not completed],Doctoral Student (PhD),,Mathematics,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2017,13'',,1 year,Built-in to my computer,Average,Other,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:14,Senior,,Mathematics,Male,Hispanic,Standard User [document writing/email/web],Laptop,2012,13'',,No,Built-in to my computer,Average,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,128 GB,< 100 GB,No,,,,,,No,Yes,No,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 1,Very confident,100 - 300 Mbps,Excellent,Complete
6/22/2020 12:11,Masters Student (MS),,Mathematics,Female,White,Standard User [document writing/email/web],Laptop,2018,17'',,3 year,Built-in to my computer,Excellent,Microsoft Surface,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,1 TB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Daily,Yes,No,No,,Yes,Samsung,Samsung Galaxy,No,,,Very confident,300 - 500 Mbps,Excellent,Complete
[not completed],Junior,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],Laptop,2018,15'',,No,Built-in to my computer,Good,Microsoft Surface,Own,Windows OS,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:14,Sophomore,,Chemistry,Female,Multiracial,Standard User [document writing/email/web],Laptop,2019,14'',,1 year,Built-in to my computer,Good,Lenovo ThinkPad,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,No,,,,,,No,Yes,Yes,Yes,Samsung,Samsung Galaxy,No,,,Somewhat confident,< 100 Mbps,Good,Complete
[not completed],Doctoral Student (PhD),,Biology and Biochemistry,Male,Prefer Not to Say,Power User [... plus programming/analytics],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:13,Freshman,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],Laptop,2019,15'',,No,Built-in to my computer,Excellent,Microsoft Surface,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,512 GB,< 100 GB,Yes,Both,Other,Google Drive,Daily,Yes,No,Yes,No,Yes,Samsung,Samsung Galaxy,Yes,Samsung,Samsung Galaxy Watch,Moderately confident,< 100 Mbps,Good,Complete
6/22/2020 12:11,Doctoral Student (PhD),,Biology and Biochemistry,Male,White,Power User [... plus programming/analytics],Laptop,2017,13'',,No,Built-in to my computer,Average,Apple Macbook Air,Own,Mac OS,High Sierra,Intel Core i7,4 GB,128 GB,100 GB - 500 GB,Yes,Cloud,,Google Drive,Daily,Yes,No,No,,Yes,iPhone,iPhone 7,No,,,Moderately confident,300 - 500 Mbps,Average,Complete
[not completed],Junior,,Biology and Biochemistry,Female,African American,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Junior,,Computer Science,Female,International (visa holders),Power User [... plus programming/analytics],Laptop,2016,Other,"11""",No,Built-in to my computer,Average,Apple Macbook Air,Own,Mac OS,Catalina,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:11,Senior,,Biology and Biochemistry,Female,Asian American,Power User [... plus programming/analytics],Desktop,2016,14'',,No,No,Fair,Other,Own,Windows OS,Windows 10 Home,Intel Core i7,16 GB,1 TB,500 GB - 1 TB,No,,,,,,Yes,No,,Yes,iPhone,iPhone X Series,No,,,Neutral,< 100 Mbps,Good,Complete
6/22/2020 12:12,Sophomore,,Computer Science,Male,African American,Standard User [document writing/email/web],Laptop,2017,13'',,No,Built-in to my computer,Good,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,4 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Google Drive,Other,No,No,Yes,No,Yes,Samsung,Other,No,,,Moderately confident,< 100 Mbps,Average,Complete
6/22/2020 12:11,Sophomore,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2018,15'',,No,Built-in to my computer,Good,Dell Inspiron 5000,Own,Windows OS,Windows 10 Home,Intel Core i5,> 32 GB,256 GB,< 100 GB,No,,,,,,Yes,No,,Yes,Samsung,Samsung Galaxy,No,,,Not confident,< 100 Mbps,Good,Complete
6/22/2020 12:13,Doctoral Student (PhD),,Mathematics,Male,International (visa holders),Power User [... plus programming/analytics],Laptop,2019,13'',,No,Built-in to my computer,Good,Apple Macbook Air,Own,Mac OS,Catalina,Intel Core i5,4 GB,128 GB,< 100 GB,Yes,Cloud,,Google Drive,Daily,Yes,No,No,,Yes,Other,Other,No,,,Very confident,100 - 300 Mbps,Good,Complete
[not completed],Junior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Freshman,,Biology and Biochemistry,Female,International (visa holders),Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:25,Junior,,Computer Science,Male,Hispanic,Power User [... plus programming/analytics],Laptop,2016,13'',,No,No,Average,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,128 GB,< 100 GB,Yes,Cloud,,Apple iCloud,Weekly,No,No,No,,Yes,iPhone,iPhone 8,No,,,Very confident,< 100 Mbps,Poor,Complete
[not completed],Senior,,Computer Science,Male,Asian American,Power User [... plus programming/analytics],Laptop,2018,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:13,Sophomore,,Computer Science,Male,Asian American,Power User [... plus programming/analytics],Laptop,2012,13'',,No,Built-in to my computer,Good,Apple Macbook Pro,Own,Mac OS,Mojave,Intel Core i5,16 GB,512 GB,< 100 GB,Yes,External backup disk,WD,,Monthly,No,No,Yes,Yes,Yes,iPhone,iPhone 6s,No,,,Very confident,< 100 Mbps,Good,Complete
6/22/2020 12:13,Doctoral Student (PhD),,Chemistry,Male,International (visa holders),Standard User [document writing/email/web],Laptop,2012,14'',,No,Built-in to my computer,Poor,Other,Own,Windows OS,Windows 7,Intel Core i5,4 GB,512 GB,100 GB - 500 GB,No,,,,,,Yes,No,,Yes,iPhone,iPhone X Series,No,,,Very confident,< 100 Mbps,Poor,Complete
6/22/2020 12:25,Junior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2017,15'',,No,Built-in to my computer,Good,Lenovo Yoga,Own,Windows OS,Windows 10 Home,Intel Core i5,8 GB,256 GB,100 GB - 500 GB,Yes,Cloud,,Microsoft OneDrive,Other,No,No,No,,Yes,Other,Other,No,,,Somewhat confident,< 100 Mbps,Excellent,Complete
[not completed],Senior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2019,13'',,No,Built-in to my computer,Average,Apple Macbook Pro,Own,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:23,Junior,,Biology and Biochemistry,Male,White,Power User [... plus programming/analytics],Laptop,2018,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Catalina,Intel Core i5,8 GB,256 GB,< 100 GB,No,,,,,,No,No,,Yes,iPhone,iPhone 6,No,,,Somewhat confident,< 100 Mbps,Excellent,Complete
[not completed],Sophomore,,Computer Science,Male,Asian American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Sophomore,,Physics,Female,International (visa holders),Standard User [document writing/email/web],Laptop,2019,13'',,1 year,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Mac OS,Mojave,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Doctoral Student (PhD),,Earth and Atmospheric Sciences,Male,White,Power User [... plus programming/analytics],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
[not completed],Junior,,Computer Science,Male,Hispanic,Power User [... plus programming/analytics],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:15,Doctoral Student (PhD),,Chemistry,Male,White,Power User [... plus programming/analytics],Laptop,2013,14'',,No,Built-in to my computer,Excellent,Apple Macbook Air,Own,Mac OS,High Sierra,Intel Core i7,4 GB,256 GB,100 GB - 500 GB,Yes,Both,Seagate,Dropbox,Other,No,No,Yes,No,Yes,iPhone,iPhone SE,No,,,Very confident,300 - 500 Mbps,Good,Complete
6/22/2020 12:12,Freshman,,Biology and Biochemistry,Male,Hispanic,Standard User [document writing/email/web],Laptop,2020,15'',,No,Built-in to my computer,Good,Other,Own,Windows OS,Windows 10 Pro,Intel Core i7,16 GB,512 GB,100 GB - 500 GB,No,,,,,,Yes,No,,Yes,Google,Google Pixel 2XL,No,,,Somewhat confident,100 - 300 Mbps,Average,Complete
[not completed],Freshman,,Biology and Biochemistry,Female,White,Standard User [document writing/email/web],Laptop,2016,15'',,No,Built-in to my computer,Fair,Other,Own,Windows OS,Windows 10 Pro,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:13,Junior,,Biology and Biochemistry,Female,Asian American,Standard User [document writing/email/web],Laptop,2018,13'',,No,Built-in to my computer,Average,Apple Macbook Air,Own,Mac OS,High Sierra,Intel Core i7,8 GB,128 GB,< 100 GB,Yes,Cloud,,Apple iCloud,Weekly,No,No,No,,Yes,iPhone,iPhone 7,No,,,Neutral,300 - 500 Mbps,Good,Complete
6/22/2020 12:13,Freshman,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2020,13'',,No,Built-in to my computer,Excellent,Apple Macbook Pro,Own,Chrome OS,Windows 10 Pro,Intel Core i9,8 GB,128 GB,100 GB - 500 GB,Yes,Both,Samsung,Google Drive,Daily,Yes,Yes,No,,Yes,iPhone,iPhone X Series,Yes,Apple Watch,Apple Watch 3,Somewhat confident,300 - 500 Mbps,Average,Complete
[not completed],Freshman,,Biology and Biochemistry,Male,Hispanic,Standard User [document writing/email/web],Tablet,2010,13'',,No,Built-in to my computer,Poor,Dell Latitude 5000,Own,Windows OS,Windows 7,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:16,Senior,,Biology and Biochemistry,Female,Hispanic,Standard User [document writing/email/web],Laptop,2018,14'',,No,Built-in to my computer,Average,Lenovo ThinkPad,Own,Windows OS,Windows 10 Home,Intel Core i7,4 GB,128 GB,< 100 GB,No,,,,,,No,Yes,No,Yes,Samsung,Samsung Galaxy,No,,,Not confident,100 - 300 Mbps,Average,Complete
[not completed],Sophomore,,Biology and Biochemistry,Male,Asian American,Standard User [document writing/email/web],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6/22/2020 12:19,Post-Baccalaureate (second degree),,Computer Science,Female,Hispanic,Standard User [document writing/email/web],Tablet,2019,13'',,1 year,Built-in to my computer,Good,Microsoft Surface,Own,Windows OS,Windows 10 Pro,Intel Core i9,32 GB,128 GB,500 GB - 1 TB,Yes,Cloud,,Microsoft OneDrive,Monthly,Yes,No,No,,Yes,Samsung,Samsung Galaxy,Yes,Fitbit,Fitbit Versa,Somewhat confident,300 - 500 Mbps,Average,Complete
